lemma,word,part_of_speech,category,meaning,code,p_20_masked,p_40_masked,p_60_masked,p_80_masked,p_100_masked
we,We,PRON,Organization Name,The team or individuals executing this sales plan simulation,r063,True,False,True,True,True
simulate,simulate,VERB,,Model or replicate a system or process,r052,False,False,True,False,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
plan,plan,NOUN,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043,False,True,True,True,True
zx-1000,ZX-1000,ADJ,NORP,The name of a scooter model produced by a company.,r065,False,True,False,True,True
model,model,NOUN,technical term,A specific version or design of a product,r031,False,False,True,True,True
base,based,VERB,,to establish as a foundation,r014,False,True,True,True,True
follow,following,VERB,,To go after or obey instructions,r025,False,False,True,False,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
plan,plan,NOUN,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
please,Please,INTJ,,A polite request or expression of courtesy,r037,False,True,False,True,True
fill,fill,VERB,,To make something complete or full,r024,False,True,True,True,True
blank,blanks,NOUN,,empty space,r015,False,True,True,True,True
simulation,simulation,NOUN,technical term,A representation of a real-world system or process,r053,True,True,False,False,True
accord,according,VERB,,to agree,r012,False,True,True,True,True
condition,conditions,NOUN,,a requirement or circumstance for something to happen,r017,False,False,True,True,True
Reference,Reference,PROPN,Technical Term,Document,r006,False,False,False,True,True
Reference,Reference,PROPN,Technical Term,Document,r006,False,False,False,True,True
Sales,Sales,PROPN,Organization Name,Commercial Business,r008,False,True,True,False,True
Plan,Plan,PROPN,Technical Term,Strategy or Action,r004,True,False,False,True,True
Scooter Model:,Scooter Model:,PROPN,PERSON,Product or Specific Item,r009,False,False,True,False,True
ZX-1000,ZX-1000,PROPN,product name,Scooter model produced by Tanaka Vehicles,r011,True,False,False,True,True
Production,Production,PROPN,Technical Term,Manufacturing Process,r005,False,True,False,True,True
Volume,Volume,PROPN,Technical Term,Quantity,r010,False,True,True,True,True
Production,Production,PROPN,Technical Term,Manufacturing Process,r005,False,True,False,True,True
Plan,Plan,PROPN,Technical Term,Strategy or Action,r004,True,False,False,True,True
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060,False,True,False,True,True
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060,False,True,False,True,True
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060,False,True,False,True,True
Domestic Inventory,Domestic Inventory,PROPN,ORG,Company or Business Entity,r002,True,True,False,True,True
project,Projected,VERB,technical term,to estimate or propose a plan,r041,False,False,True,True,True
ZX-1000,ZX-1000,PROPN,product name,Scooter model produced by Tanaka Vehicles,r011,True,False,False,True,True
Revenue,Revenue,PROPN,Technical Term,Income Generated,r007,False,False,False,False,True
Revenue,Revenue,PROPN,Technical Term,Income Generated,r007,False,False,False,False,True
Domestic Projected,Domestic Projected,PROPN,PERSON,Person or Individual,r003,False,True,True,False,True
Sales,Sales,PROPN,Organization Name,Commercial Business,r008,False,True,True,False,True
Plan,Plan,PROPN,Technical Term,Strategy or Action,r004,True,False,False,True,True
condition,Conditions,NOUN,,a requirement or circumstance for something to happen,r017,False,False,True,True,True
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043,False,True,True,True,True
cost,cost,NOUN,,the amount of money required for something,r019,True,True,False,True,True
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060,False,True,False,True,True
set,set,VERB,technical term,Assign a value or parameter,r051,False,False,False,True,True
which,which,PRON,Technical Term,A specific instance of the ZX-1000 model,r064,False,False,True,False,True
include,includes,VERB,,To encompass or contain something as part of a larger whole,r027,False,False,False,True,True
cost,costs,NOUN,,the amount of money required for something,r019,True,True,False,True,True
such,such,ADJ,,Of that kind or nature; similar to what has been mentioned,r056,False,False,True,True,True
part,parts,NOUN,technical term,A component or fragment of a larger whole,r034,False,True,True,True,True
repair,repairs,NOUN,technical term,the act of fixing something that is broken,r046,False,True,True,False,True
transportation,transportation,NOUN,technical term,The movement of goods or people from one place to another,r059,False,False,False,True,True
other,other,ADJ,technical term,Additional or supplementary elements,r033,False,True,False,True,True
expense,expenses,NOUN,technical term,"A cost incurred, typically related to business operations",r023,True,False,True,False,True
post-recall,post-recall,ADJ,technical term,Following or occurring after a recall action,r038,False,True,True,False,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
estimate,estimated,VERB,,To calculate or approximate a value,r022,False,True,True,True,True
reduction,reduction,NOUN,technical term,"a decrease in size, amount, or intensity",r044,False,True,False,True,True
rate,rate,NOUN,technical term,"a measure of speed, frequency, or extent",r042,False,False,True,True,True
simulation,Simulation,NOUN,technical term,A representation of a real-world system or process,r053,True,True,False,False,True
let,Let,VERB,,To permit or allow something to happen,r029,False,False,True,True,True
production,production,NOUN,technical term,The process of manufacturing or creating goods,r040,False,False,False,True,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
production,production,NOUN,technical term,The process of manufacturing or creating goods,r040,False,False,False,True,True
plan,plan,NOUN,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
inventory,inventory,NOUN,technical term,"A complete list of items in stock, typically for business purposes",r028,False,False,True,False,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
plan,planned,VERB,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
revenue,revenue,NOUN,technical term,income generated from business activities,r047,False,False,True,True,True
planned,planned,ADJ,technical term,Predetermined or intentionally arranged in advance,r036,True,True,True,True,True
revenue,revenue,NOUN,technical term,income generated from business activities,r047,False,False,True,True,True
model,model,NOUN,technical term,A specific version or design of a product,r031,False,False,True,True,True
subject,subject,ADJ,,The topic or object undergoing an action or being examined,r054,False,True,True,True,True
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043,False,True,True,True,True
number,number,NOUN,technical term,A quantitative value representing a quantity or amount,r032,False,False,True,True,True
unit,unit,NOUN,technical term,"A single, indivisible item or quantity",r060,False,True,False,True,True
sell,sold,VERB,technical term,to transfer ownership of something in exchange for money,r050,False,False,True,True,True
subject,subject,ADV,,The topic or object undergoing an action or being examined,r054,False,True,True,True,True
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043,False,True,True,True,True
calculate,calculated,VERB,,to determine by mathematical computation,r016,False,False,False,True,True
subtract,subtracting,VERB,,Remove a quantity from another quantity,r055,True,False,False,True,True
number,number,NOUN,technical term,A quantitative value representing a quantity or amount,r032,False,False,True,True,True
unit,units,NOUN,technical term,"A single, indivisible item or quantity",r060,False,True,False,True,True
remain,remaining,VERB,technical term,to continue to exist or be in a certain state,r045,True,False,False,True,True
unsold,unsold,ADJ,Technical Term,Quantity of products not yet sold,r061,True,False,False,True,True
production,production,NOUN,technical term,The process of manufacturing or creating goods,r040,False,False,False,True,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
i.e.,i.e.,X,,"Abbreviation for 'id est,' meaning 'that is' or 'in other words'",r026,True,False,True,True,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
price,price,NOUN,technical term,The monetary value assigned to a product or service,r039,False,True,True,True,True
model,model,NOUN,technical term,A specific version or design of a product,r031,False,False,True,True,True
subject,subject,ADJ,,The topic or object undergoing an action or being examined,r054,False,True,True,True,True
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043,False,True,True,True,True
calculate,calculated,VERB,,to determine by mathematical computation,r016,False,False,False,True,True
divide,dividing,VERB,technical term,To split or separate something into parts,r021,False,False,True,False,True
plan,planned,VERB,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
revenue,revenue,NOUN,technical term,income generated from business activities,r047,False,False,True,True,True
model,model,NOUN,technical term,A specific version or design of a product,r031,False,False,True,True,True
total,total,NOUN,,The sum of all parts or quantities,r058,False,True,False,True,True
production,production,NOUN,technical term,The process of manufacturing or creating goods,r040,False,False,False,True,True
plan,plan,NOUN,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
inventory,inventory,NOUN,technical term,"A complete list of items in stock, typically for business purposes",r028,False,False,True,False,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
i.e.,i.e.,X,,"Abbreviation for 'id est,' meaning 'that is' or 'in other words'",r026,True,False,True,True,True
therefore,Therefore,ADV,,As a result or consequence,r057,False,False,True,True,True
total,total,ADJ,,The sum of all parts or quantities,r058,False,True,False,True,True
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043,False,True,True,True,True
cost,cost,NOUN,,the amount of money required for something,r019,True,True,False,True,True
plan,planned,VERB,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
consider,considering,VERB,,to think carefully about,r018,False,False,False,True,True
reduction,reduction,NOUN,technical term,"a decrease in size, amount, or intensity",r044,False,True,False,True,True
rate,rate,NOUN,technical term,"a measure of speed, frequency, or extent",r042,False,False,True,True,True
post-recall,post-recall,ADJ,technical term,Following or occurring after a recall action,r038,False,True,True,False,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
volume,volume,NOUN,Technical Term,"Amount or volume of something produced, sold, or available.",r062,False,False,False,True,True
decrease,decrease,NOUN,,a reduction in size or amount,r020,True,True,True,True,True
revenue,revenue,NOUN,technical term,income generated from business activities,r047,False,False,True,True,True
loss,loss,NOUN,organization name,"Financial damage or reduction in value, often due to expenses exceeding revenue",r030,False,False,False,True,True
amount,amount,NOUN,,quantity or sum present,r013,False,False,True,True,True
revise,revised,VERB,technical term,to make changes or corrections to something,r048,False,False,True,True,True
plan,planned,VERB,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
revenue,revenue,NOUN,technical term,income generated from business activities,r047,False,False,True,True,True
model,model,NOUN,technical term,A specific version or design of a product,r031,False,False,True,True,True
subject,subject,ADJ,,The topic or object undergoing an action or being examined,r054,False,True,True,True,True
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043,False,True,True,True,True
revise,revised,VERB,technical term,to make changes or corrections to something,r048,False,False,True,True,True
plan,planned,VERB,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
revenue,revenue,NOUN,technical term,income generated from business activities,r047,False,False,True,True,True
simulation,Simulation,NOUN,,,r053,True,True,False,False,True
let,Let,VERB,,,r029,False,False,True,True,True
production,production,NOUN,,,r040,False,False,False,True,True
volume,volume,NOUN,,,r062,False,False,False,True,True
production,production,NOUN,,,r040,False,False,False,True,True
plan,plan,NOUN,,,r035,False,False,False,True,True
volume,volume,NOUN,,,r062,False,False,False,True,True
inventory,inventory,NOUN,,,r028,False,False,True,False,True
volume,volume,NOUN,,,r062,False,False,False,True,True
plan,planned,VERB,,,r035,False,False,False,True,True
revenue,revenue,NOUN,,,r047,False,False,True,True,True
planned,planned,ADJ,,,r036,True,True,True,True,True
revenue,revenue,NOUN,,,r047,False,False,True,True,True
model,model,NOUN,,,r031,False,False,True,True,True
subject,subject,ADJ,,,r054,False,True,True,True,True
recall,recall,NOUN,,,r043,False,True,True,True,True
number,number,NOUN,,,r032,False,False,True,True,True
unit,units,NOUN,,,r060,False,True,False,True,True
sell,sold,VERB,,,r050,False,False,True,True,True
subject,subject,ADV,,,r054,False,True,True,True,True
recall,recall,NOUN,,,r043,False,True,True,True,True
calculate,calculated,VERB,,,r016,False,False,False,True,True
subtract,subtracting,VERB,,,r055,True,False,False,True,True
number,number,NOUN,,,r032,False,False,True,True,True
unit,units,NOUN,,,r060,False,True,False,True,True
remain,remaining,VERB,,,r045,True,False,False,True,True
unsold,unsold,ADJ,,,r061,True,False,False,True,True
production,production,NOUN,,,r040,False,False,False,True,True
volume,volume,NOUN,,,r062,False,False,False,True,True
i.e.,i.e.,X,,,r026,True,False,True,True,True
sale,sales,NOUN,,,r049,False,False,True,True,True
price,price,NOUN,,,r039,False,True,True,True,True
model,model,NOUN,,,r031,False,False,True,True,True
subject,subject,ADJ,,,r054,False,True,True,True,True
recall,recall,NOUN,,,r043,False,True,True,True,True
calculate,calculated,VERB,,,r016,False,False,False,True,True
divide,dividing,VERB,,,r021,False,False,True,False,True
plan,planned,VERB,,,r035,False,False,False,True,True
sale,sales,NOUN,,,r049,False,False,True,True,True
revenue,revenue,NOUN,,,r047,False,False,True,True,True
model,model,NOUN,,,r031,False,False,True,True,True
total,total,NOUN,,,r058,False,True,False,True,True
production,production,NOUN,,,r040,False,False,False,True,True
plan,plan,NOUN,,,r035,False,False,False,True,True
volume,volume,NOUN,,,r062,False,False,False,True,True
inventory,inventory,NOUN,,,r028,False,False,True,False,True
volume,volume,NOUN,,,r062,False,False,False,True,True
i.e.,i.e.,X,,,r026,True,False,True,True,True
therefore,Therefore,ADV,,,r057,False,False,True,True,True
total,total,ADJ,,,r058,False,True,False,True,True
recall,recall,NOUN,,,r043,False,True,True,True,True
cost,cost,NOUN,,,r019,True,True,False,True,True
plan,planned,VERB,,,r035,False,False,False,True,True
sale,sales,NOUN,,,r049,False,False,True,True,True
volume,volume,NOUN,,,r062,False,False,False,True,True
consider,considering,VERB,,,r018,False,False,False,True,True
reduction,reduction,NOUN,,,r044,False,True,False,True,True
rate,rate,NOUN,,,r042,False,False,True,True,True
post-recall,post-recall,ADJ,,,r038,False,True,True,False,True
sale,sales,NOUN,,,r049,False,False,True,True,True
volume,volume,NOUN,,,r062,False,False,False,True,True
decrease,decrease,NOUN,,,r020,True,True,True,True,True
revenue,revenue,NOUN,,,r047,False,False,True,True,True
loss,loss,NOUN,,,r030,False,False,False,True,True
amount,amount,NOUN,,,r013,False,False,True,True,True
revise,revised,VERB,,,r048,False,False,True,True,True
plan,planned,VERB,,,r035,False,False,False,True,True
sale,sales,NOUN,,,r049,False,False,True,True,True
revenue,revenue,NOUN,,,r047,False,False,True,True,True
model,model,NOUN,,,r031,False,False,True,True,True
subject,subject,ADJ,,,r054,False,True,True,True,True
recall,recall,NOUN,,,r043,False,True,True,True,True
revise,revised,VERB,,,r048,False,False,True,True,True
plan,planned,VERB,,,r035,False,False,False,True,True
revenue,revenue,NOUN,,,r047,False,False,True,True,True
